procedure_group,product_group_text,product_subgroup_text,profit_center,component_family,qty_min,qty_mode,qty_max,assumption_notes,confidence,terumo_category,qty_expected,procedure_group_key,terumo_category_key
PCI - Coronary,Guiding Catheters,Heartrail,PC102,Heartrail,0.7,1.2,2.2,Based on clinical protocol for PCI - Coronary,Medium,Guiding Catheters,1.2,PG001,TC001
PCI - Coronary,Guiding Catheters,Vista Brite Tip,PC102,Vista Brite Tip,0.7,1.2,2.2,Based on clinical protocol for PCI - Coronary,High,Guiding Catheters,1.2,PG001,TC001
PCI - Coronary,Coronary Guidewires,Runthrough,PC101,Runthrough,1.5,2.0,3.0,Based on clinical protocol for PCI - Coronary,High,Guide Wires,2.0,PG001,TC002
PCI - Coronary,Coronary Guidewires,Sion,PC101,Sion,1.5,2.0,3.0,Based on clinical protocol for PCI - Coronary,Low,Guide Wires,2.0,PG001,TC002
PCI - Coronary,Coronary Guidewires,Glidewire Adv,PC101,Glidewire Adv,1.5,2.0,3.0,Based on clinical protocol for PCI - Coronary,Low,Guide Wires,2.0,PG001,TC002
PCI - Coronary,Balloon Catheters,Ryurei,PC103,Ryurei,1.0,1.5,2.5,Based on clinical protocol for PCI - Coronary,Low,PTCA Balloon Catheters,1.5,PG001,TC003
PCI - Coronary,Balloon Catheters,Hiryu Plus,PC103,Hiryu Plus,1.0,1.5,2.5,Based on clinical protocol for PCI - Coronary,Medium,PTCA Balloon Catheters,1.5,PG001,TC003
PCI - Coronary,Drug-Eluting Stents,Ultimaster Tansei,PC104,Ultimaster Tansei,0.8,1.3,2.3,Based on clinical protocol for PCI - Coronary,Medium,Drug-Eluting Stents,1.3,PG001,TC004
PCI - Coronary,Inflation,Kushi III,PC109,Kushi III,0.5,1.0,2.0,Based on clinical protocol for PCI - Coronary,Medium,Inflation Devices,1.0,PG001,TC009
PCI - Coronary,Hemostasis,TR Band,PC108,TR Band,0.5,1.0,2.0,Based on clinical protocol for PCI - Coronary,High,Hemostasis Valves,1.0,PG001,TC008
PCI - Coronary,Radial Kits,Radial Kit Pro,PC110,Radial Kit Pro,0.5,1.0,2.0,Based on clinical protocol for PCI - Coronary,Low,Radial Access Kits,1.0,PG001,TC010
PCI - Complex,Guiding Catheters,Heartrail,PC102,Heartrail,1.0,1.5,2.5,Based on clinical protocol for PCI - Complex,Low,Guiding Catheters,1.5,PG002,TC001
