Customer,Customer Name,Customer Account Group Code,Customer account group Text,Country,Country Text,Location,CITY,Language key,Source System,TIS Final Segmenation,Customer Combined,Final Customer,Final Name,Final Location,GPO Combined
100001,Universitätsklinikum Berlin,Z001,Hospital,DE,Central Europe,Berlin,Berlin,de,SAP,University Hospital,100001 - Universitätsklinikum Berlin,100001,Universitätsklinikum Berlin,Berlin,
100002,Klinikum Munich,Z001,Hospital,DE,Central Europe,Munich,Munich,de,SAP,University Hospital,100002 - Klinikum Munich,100002,Klinikum Munich,Munich,
100003,Herzzentrum Hamburg,Z001,Hospital,DE,Central Europe,Hamburg,Hamburg,de,SAP,University Hospital,100003 - Herzzentrum Hamburg,100003,Herzzentrum Hamburg,Hamburg,
100004,Städtisches Krankenhaus Frankfurt,Z001,Hospital,DE,Central Europe,Frankfurt,Frankfurt,de,SAP,Public Hospital,100004 - Städtisches Krankenhaus Frankfurt,100004,Städtisches Krankenhaus Frankfurt,Frankfurt,
100005,St. Vinzenz-Hospital Cologne,Z001,Hospital,DE,Central Europe,Cologne,Cologne,de,SAP,Public Hospital,100005 - St. Vinzenz-Hospital Cologne,100005,St. Vinzenz-Hospital Cologne,Cologne,
100006,Universitätsklinikum Stuttgart,Z001,Hospital,DE,Central Europe,Stuttgart,Stuttgart,de,SAP,University Hospital,100006 - Universitätsklinikum Stuttgart,100006,Universitätsklinikum Stuttgart,Stuttgart,
100007,Klinikum Düsseldorf,Z001,Hospital,DE,Central Europe,Düsseldorf,Düsseldorf,de,SAP,University Hospital,100007 - Klinikum Düsseldorf,100007,Klinikum Düsseldorf,Düsseldorf,
100008,Herzzentrum Leipzig,Z001,Hospital,DE,Central Europe,Leipzig,Leipzig,de,SAP,University Hospital,100008 - Herzzentrum Leipzig,100008,Herzzentrum Leipzig,Leipzig,
100009,Städtisches Krankenhaus Dresden,Z001,Hospital,DE,Central Europe,Dresden,Dresden,de,SAP,Heart Center,100009 - Städtisches Krankenhaus Dresden,100009,Städtisches Krankenhaus Dresden,Dresden,
100010,St. Vinzenz-Hospital Hannover,Z001,Hospital,DE,Central Europe,Hannover,Hannover,de,SAP,University Hospital,100010 - St. Vinzenz-Hospital Hannover,100010,St. Vinzenz-Hospital Hannover,Hannover,
